id,clothing_label,confidence,timestamp,tanggal
44,rambut,0.74,2025-11-24T10:10:00,2025-11-24
45,topi,0.55,2025-11-24T14:24:00,2025-11-24
46,rambut,0.65,2025-11-24T09:08:00,2025-11-24
47,rambut,0.85,2025-11-24T10:45:00,2025-11-24
48,rambut,0.89,2025-11-24T08:57:00,2025-11-24
49,rambut,0.54,2025-11-24T10:51:00,2025-11-24
50,topi,0.86,2025-11-24T09:15:00,2025-11-24
51,rambut,0.69,2025-11-24T18:00:00,2025-11-24
52,rambut,0.55,2025-11-24T07:41:00,2025-11-24
53,topi,0.96,2025-11-24T12:27:00,2025-11-24
54,rambut,0.8,2025-11-24T09:42:00,2025-11-24
55,rambut,0.87,2025-11-24T08:55:00,2025-11-24
56,rambut,0.83,2025-11-24T12:37:00,2025-11-24
57,rambut,0.71,2025-11-24T13:09:00,2025-11-24
58,rambut,0.89,2025-11-24T12:59:00,2025-11-24
59,hijab,0.64,2025-11-24T11:09:00,2025-11-24
60,hijab,0.54,2025-11-24T17:52:00,2025-11-24
61,topi,0.78,2025-11-24T13:43:00,2025-11-24
62,rambut,0.97,2025-11-24T21:53:00,2025-11-24
63,rambut,0.82,2025-11-24T07:54:00,2025-11-24
64,rambut,0.91,2025-11-24T15:41:00,2025-11-24
65,topi,0.87,2025-11-24T21:00:00,2025-11-24
66,hijab,0.82,2025-11-24T12:14:00,2025-11-24
67,topi,0.69,2025-11-24T16:59:00,2025-11-24
68,hijab,0.63,2025-11-24T17:34:00,2025-11-24
69,rambut,0.8,2025-11-24T16:48:00,2025-11-24
70,rambut,0.57,2025-11-24T19:09:00,2025-11-24
71,hijab,0.82,2025-11-24T07:23:00,2025-11-24
72,hijab,0.9,2025-11-24T08:25:00,2025-11-24
73,rambut,0.61,2025-11-24T08:14:00,2025-11-24
74,hijab,0.79,2025-11-24T19:47:00,2025-11-24
75,rambut,0.86,2025-11-24T17:48:00,2025-11-24
76,hijab,0.78,2025-11-24T15:12:00,2025-11-24
77,rambut,0.56,2025-11-24T16:22:00,2025-11-24
78,rambut,0.57,2025-11-24T18:32:00,2025-11-24
79,rambut,0.6,2025-11-24T16:39:00,2025-11-24
80,hijab,0.88,2025-11-24T11:40:00,2025-11-24
81,hijab,0.59,2025-11-24T09:02:00,2025-11-24
82,rambut,0.65,2025-11-24T12:00:00,2025-11-24
83,rambut,0.95,2025-11-24T16:56:00,2025-11-24
84,rambut,0.71,2025-11-24T09:59:00,2025-11-24
85,rambut,0.54,2025-11-24T14:39:00,2025-11-24
86,rambut,0.96,2025-11-24T19:55:00,2025-11-24
87,rambut,0.57,2025-11-24T13:20:00,2025-11-24
88,topi,0.58,2025-11-24T10:11:00,2025-11-24
89,rambut,0.94,2025-11-24T16:56:00,2025-11-24
90,rambut,0.92,2025-11-24T20:26:00,2025-11-24
91,topi,0.96,2025-11-24T07:37:00,2025-11-24
92,rambut,0.73,2025-11-24T16:39:00,2025-11-24
93,hijab,0.66,2025-11-24T12:27:00,2025-11-24
94,rambut,0.8,2025-11-24T19:07:00,2025-11-24
95,topi,0.98,2025-11-24T07:04:00,2025-11-24
96,rambut,0.61,2025-11-24T09:31:00,2025-11-24
97,rambut,0.5,2025-11-24T06:36:00,2025-11-24
98,rambut,0.69,2025-11-24T16:30:00,2025-11-24
99,rambut,0.66,2025-11-24T18:22:00,2025-11-24
100,topi,0.59,2025-11-24T21:13:00,2025-11-24
101,topi,0.95,2025-11-24T12:09:00,2025-11-24
102,topi,0.72,2025-11-24T14:33:00,2025-11-24
103,hijab,0.99,2025-11-24T16:17:00,2025-11-24
104,hijab,0.63,2025-11-24T17:15:00,2025-11-24
105,rambut,0.81,2025-11-24T11:46:00,2025-11-24
106,rambut,0.76,2025-11-24T14:56:00,2025-11-24
107,rambut,0.81,2025-11-24T07:25:00,2025-11-24
108,rambut,0.9,2025-11-24T16:19:00,2025-11-24
109,rambut,0.59,2025-11-24T18:52:00,2025-11-24
110,rambut,0.96,2025-11-24T16:41:00,2025-11-24
111,rambut,0.98,2025-11-24T21:21:00,2025-11-24
112,rambut,0.72,2025-11-24T11:56:00,2025-11-24
113,hijab,0.62,2025-11-24T19:50:00,2025-11-24
114,rambut,0.72,2025-11-24T06:13:00,2025-11-24
115,topi,0.58,2025-11-24T21:55:00,2025-11-24
116,topi,0.89,2025-11-24T06:48:00,2025-11-24
117,rambut,0.57,2025-11-24T19:57:00,2025-11-24
118,rambut,0.83,2025-11-24T07:39:00,2025-11-24
119,hijab,0.67,2025-11-24T13:30:00,2025-11-24
120,rambut,0.92,2025-11-24T16:49:00,2025-11-24
121,rambut,0.7,2025-11-24T09:48:00,2025-11-24
122,hijab,0.61,2025-11-24T16:15:00,2025-11-24
123,rambut,0.55,2025-11-24T09:43:00,2025-11-24
124,topi,0.76,2025-11-24T17:26:00,2025-11-24
125,rambut,0.92,2025-11-24T11:56:00,2025-11-24
126,topi,0.87,2025-11-24T10:17:00,2025-11-24
127,rambut,0.54,2025-11-24T11:01:00,2025-11-24
128,rambut,0.56,2025-11-24T06:06:00,2025-11-24
129,hijab,0.95,2025-11-24T16:42:00,2025-11-24
130,rambut,0.77,2025-11-24T10:14:00,2025-11-24
131,rambut,0.98,2025-11-24T20:45:00,2025-11-24
132,rambut,0.56,2025-11-24T17:26:00,2025-11-24
133,hijab,0.93,2025-11-24T06:42:00,2025-11-24
134,hijab,0.76,2025-11-24T14:36:00,2025-11-24
135,hijab,0.5,2025-11-24T19:58:00,2025-11-24
136,hijab,0.79,2025-11-24T09:27:00,2025-11-24
137,rambut,0.97,2025-11-24T20:38:00,2025-11-24
138,rambut,0.98,2025-11-24T13:22:00,2025-11-24
139,rambut,0.93,2025-11-24T18:42:00,2025-11-24
140,rambut,0.88,2025-11-24T09:23:00,2025-11-24
141,rambut,0.58,2025-11-24T09:01:00,2025-11-24
142,topi,0.62,2025-11-24T09:30:00,2025-11-24
143,hijab,0.97,2025-11-24T06:29:00,2025-11-24
144,topi,0.53,2025-11-24T16:49:00,2025-11-24
145,topi,0.69,2025-11-24T21:21:00,2025-11-24
146,rambut,0.9,2025-11-24T11:08:00,2025-11-24
147,rambut,0.67,2025-11-24T09:11:00,2025-11-24
148,rambut,0.74,2025-11-24T18:07:00,2025-11-24
149,topi,0.64,2025-11-24T10:48:00,2025-11-24
150,topi,0.61,2025-11-24T06:15:00,2025-11-24
151,topi,0.87,2025-11-24T16:22:00,2025-11-24
152,hijab,0.95,2025-11-24T10:28:00,2025-11-24
153,rambut,0.94,2025-11-24T16:15:00,2025-11-24
154,rambut,0.6,2025-11-24T10:58:00,2025-11-24
155,rambut,0.75,2025-11-24T15:14:00,2025-11-24
156,topi,0.59,2025-11-24T17:39:00,2025-11-24
157,hijab,0.65,2025-11-24T08:58:00,2025-11-24
158,rambut,0.75,2025-11-24T11:31:00,2025-11-24
159,topi,0.82,2025-11-24T13:14:00,2025-11-24
160,topi,0.78,2025-11-24T17:20:00,2025-11-24
161,rambut,0.98,2025-11-24T16:21:00,2025-11-24
162,rambut,0.93,2025-11-24T10:09:00,2025-11-24
163,hijab,0.69,2025-11-24T19:16:00,2025-11-24
164,rambut,0.65,2025-11-24T08:36:00,2025-11-24
165,topi,0.95,2025-11-24T11:45:00,2025-11-24
166,hijab,0.91,2025-11-24T07:03:00,2025-11-24
167,hijab,0.86,2025-11-24T12:38:00,2025-11-24
168,rambut,0.8,2025-11-24T20:42:00,2025-11-24
169,rambut,0.66,2025-11-24T15:30:00,2025-11-24
170,hijab,0.9,2025-11-24T16:49:00,2025-11-24
171,rambut,0.83,2025-11-24T11:18:00,2025-11-24
172,rambut,0.74,2025-11-24T10:06:00,2025-11-24
173,rambut,0.76,2025-11-24T21:01:00,2025-11-24
174,rambut,0.71,2025-11-24T15:00:00,2025-11-24
175,rambut,0.78,2025-11-24T06:47:00,2025-11-24
176,rambut,0.55,2025-11-24T06:25:00,2025-11-24
177,rambut,0.56,2025-11-24T13:45:00,2025-11-24
178,rambut,0.5,2025-11-24T19:25:00,2025-11-24
179,rambut,0.93,2025-11-24T18:33:00,2025-11-24
180,hijab,0.66,2025-11-24T17:54:00,2025-11-24
181,rambut,0.59,2025-11-24T06:54:00,2025-11-24
182,rambut,0.54,2025-11-24T19:08:00,2025-11-24
183,hijab,0.81,2025-11-24T15:57:00,2025-11-24
184,rambut,0.55,2025-11-24T13:37:00,2025-11-24
185,rambut,0.57,2025-11-24T16:25:00,2025-11-24
186,rambut,0.86,2025-11-24T20:26:00,2025-11-24
187,rambut,0.65,2025-11-24T21:42:00,2025-11-24
188,hijab,0.67,2025-11-24T11:29:00,2025-11-24
189,rambut,0.83,2025-11-24T06:44:00,2025-11-24
190,topi,0.51,2025-11-24T14:35:00,2025-11-24
191,rambut,0.99,2025-11-24T12:18:00,2025-11-24
192,rambut,0.52,2025-11-24T20:44:00,2025-11-24
193,rambut,0.93,2025-11-24T20:25:00,2025-11-24
194,hijab,0.71,2025-11-24T13:43:00,2025-11-24
195,hijab,0.64,2025-11-24T13:49:00,2025-11-24
196,rambut,0.96,2025-11-24T09:27:00,2025-11-24
197,rambut,0.54,2025-11-24T08:52:00,2025-11-24
198,rambut,0.78,2025-11-24T14:32:00,2025-11-24
199,hijab,0.92,2025-11-24T20:40:00,2025-11-24
200,rambut,0.99,2025-11-24T06:15:00,2025-11-24
201,topi,0.58,2025-11-24T11:36:00,2025-11-24
202,rambut,0.95,2025-11-24T16:13:00,2025-11-24
203,hijab,0.71,2025-11-24T08:39:00,2025-11-24
204,rambut,0.74,2025-11-24T13:40:00,2025-11-24
205,rambut,0.53,2025-11-24T11:05:00,2025-11-24
206,rambut,0.6,2025-11-24T20:10:00,2025-11-24
207,rambut,0.68,2025-11-24T16:22:00,2025-11-24
208,rambut,0.87,2025-11-24T16:33:00,2025-11-24
209,rambut,0.75,2025-11-24T18:21:00,2025-11-24
210,rambut,0.6,2025-11-24T18:38:00,2025-11-24
211,hijab,0.69,2025-11-24T06:40:00,2025-11-24
212,topi,0.71,2025-11-24T12:06:00,2025-11-24
213,hijab,0.62,2025-11-24T06:19:00,2025-11-24
214,rambut,0.89,2025-11-24T14:55:00,2025-11-24
215,topi,0.86,2025-11-24T08:07:00,2025-11-24
216,topi,0.53,2025-11-24T09:18:00,2025-11-24
217,rambut,0.64,2025-11-24T16:13:00,2025-11-24
218,rambut,0.54,2025-11-24T08:27:00,2025-11-24
219,rambut,0.72,2025-11-24T06:00:00,2025-11-24
220,rambut,0.95,2025-11-24T08:18:00,2025-11-24
221,topi,0.57,2025-11-24T14:09:00,2025-11-24
222,topi,0.91,2025-11-24T17:49:00,2025-11-24
223,rambut,0.96,2025-11-24T12:22:00,2025-11-24
224,topi,0.86,2025-11-24T12:21:00,2025-11-24
225,topi,0.95,2025-11-24T14:57:00,2025-11-24
226,rambut,0.6,2025-11-24T08:14:00,2025-11-24
227,rambut,0.64,2025-11-24T07:57:00,2025-11-24
228,rambut,0.77,2025-11-24T19:10:00,2025-11-24
229,hijab,0.58,2025-11-24T21:47:00,2025-11-24
230,hijab,0.65,2025-11-24T06:13:00,2025-11-24
231,rambut,0.89,2025-11-24T06:31:00,2025-11-24
232,topi,0.88,2025-11-24T14:39:00,2025-11-24
233,rambut,0.73,2025-11-24T16:13:00,2025-11-24
234,rambut,0.58,2025-11-24T14:52:00,2025-11-24
235,topi,0.93,2025-11-24T08:29:00,2025-11-24
236,rambut,0.81,2025-11-24T12:39:00,2025-11-24
237,topi,0.56,2025-11-24T15:22:00,2025-11-24
238,rambut,0.51,2025-11-24T12:50:00,2025-11-24
239,rambut,0.71,2025-11-24T14:00:00,2025-11-24
240,hijab,0.95,2025-11-24T16:31:00,2025-11-24
241,rambut,0.95,2025-11-24T21:41:00,2025-11-24
242,rambut,0.67,2025-11-24T10:45:00,2025-11-24
243,topi,0.96,2025-11-24T06:29:00,2025-11-24
244,rambut,0.84,2025-11-24T07:13:00,2025-11-24
245,hijab,0.69,2025-11-24T19:16:00,2025-11-24
246,rambut,0.62,2025-11-24T18:28:00,2025-11-24
247,hijab,0.87,2025-11-24T13:01:00,2025-11-24
248,topi,0.89,2025-11-24T11:52:00,2025-11-24
249,rambut,0.64,2025-11-24T19:11:00,2025-11-24
250,topi,0.72,2025-11-24T17:53:00,2025-11-24
251,rambut,0.95,2025-11-24T19:54:00,2025-11-24
252,topi,0.61,2025-11-24T15:17:00,2025-11-24
253,rambut,0.84,2025-11-24T20:31:00,2025-11-24
254,topi,0.78,2025-11-24T13:55:00,2025-11-24
255,rambut,0.54,2025-11-24T15:54:00,2025-11-24
256,rambut,0.52,2025-11-24T20:21:00,2025-11-24
257,rambut,0.57,2025-11-24T15:05:00,2025-11-24
258,topi,0.97,2025-11-24T12:18:00,2025-11-24
259,rambut,0.55,2025-11-24T08:35:00,2025-11-24
260,topi,0.98,2025-11-24T09:14:00,2025-11-24
261,topi,0.87,2025-11-24T13:32:00,2025-11-24
262,hijab,0.77,2025-11-24T14:22:00,2025-11-24
263,hijab,0.98,2025-11-24T15:31:00,2025-11-24
264,topi,0.94,2025-11-24T09:38:00,2025-11-24
265,rambut,0.61,2025-11-24T15:38:00,2025-11-24
266,topi,0.78,2025-11-24T18:10:00,2025-11-24
267,rambut,0.73,2025-11-24T19:33:00,2025-11-24
268,rambut,0.64,2025-11-24T15:22:00,2025-11-24
269,hijab,0.92,2025-11-24T14:30:00,2025-11-24
270,rambut,0.63,2025-11-24T16:23:00,2025-11-24
271,rambut,0.76,2025-11-24T20:12:00,2025-11-24
272,rambut,0.76,2025-11-24T07:21:00,2025-11-24
273,hijab,0.57,2025-11-24T10:22:00,2025-11-24
274,topi,0.82,2025-11-24T09:24:00,2025-11-24
275,hijab,0.57,2025-11-24T12:20:00,2025-11-24
276,topi,0.9,2025-11-24T17:30:00,2025-11-24
277,rambut,0.82,2025-11-24T19:02:00,2025-11-24
278,rambut,0.6,2025-11-24T18:01:00,2025-11-24
279,rambut,0.91,2025-11-24T20:51:00,2025-11-24
280,rambut,0.57,2025-11-24T09:11:00,2025-11-24
281,topi,0.9,2025-11-24T12:31:00,2025-11-24
282,rambut,0.89,2025-11-24T19:48:00,2025-11-24
283,topi,0.83,2025-11-24T10:16:00,2025-11-24
284,rambut,0.53,2025-11-24T12:18:00,2025-11-24
285,rambut,0.61,2025-11-24T20:37:00,2025-11-24
286,hijab,0.54,2025-11-24T12:57:00,2025-11-24
287,rambut,0.99,2025-11-24T15:02:00,2025-11-24
288,rambut,0.66,2025-11-24T06:07:00,2025-11-24
289,topi,0.81,2025-11-24T20:30:00,2025-11-24
290,rambut,0.66,2025-11-24T10:48:00,2025-11-24
291,rambut,0.8,2025-11-24T20:00:00,2025-11-24
292,topi,0.65,2025-11-24T18:01:00,2025-11-24
293,rambut,0.8,2025-11-24T08:23:00,2025-11-24
294,rambut,0.5,2025-11-24T10:04:00,2025-11-24
295,topi,0.69,2025-11-24T10:20:00,2025-11-24
296,rambut,0.68,2025-11-24T07:33:00,2025-11-24
297,rambut,0.82,2025-11-24T15:10:00,2025-11-24
298,rambut,0.93,2025-11-24T15:24:00,2025-11-24
299,hijab,0.82,2025-11-24T13:30:00,2025-11-24
300,rambut,0.72,2025-11-24T16:12:00,2025-11-24
301,rambut,0.55,2025-11-24T16:19:00,2025-11-24
302,hijab,0.75,2025-11-24T18:37:00,2025-11-24
303,topi,0.6,2025-11-24T08:20:00,2025-11-24
304,rambut,0.83,2025-11-24T12:44:00,2025-11-24
305,rambut,0.69,2025-11-24T18:32:00,2025-11-24
306,rambut,0.77,2025-11-24T20:47:00,2025-11-24
307,rambut,0.56,2025-11-24T19:16:00,2025-11-24
308,rambut,0.71,2025-11-24T19:22:00,2025-11-24
309,topi,0.84,2025-11-24T17:35:00,2025-11-24
310,rambut,0.8,2025-11-24T20:18:00,2025-11-24
311,rambut,0.62,2025-11-24T11:14:00,2025-11-24
312,topi,0.51,2025-11-24T20:20:00,2025-11-24
313,rambut,0.9,2025-11-24T07:03:00,2025-11-24
314,rambut,0.75,2025-11-24T06:20:00,2025-11-24
315,rambut,0.99,2025-11-24T08:05:00,2025-11-24
316,topi,0.98,2025-11-24T15:42:00,2025-11-24
317,rambut,0.92,2025-11-24T17:41:00,2025-11-24
318,hijab,0.87,2025-11-24T10:09:00,2025-11-24
319,rambut,0.71,2025-11-24T17:30:00,2025-11-24
320,hijab,0.56,2025-11-24T11:52:00,2025-11-24
321,rambut,0.68,2025-11-24T17:20:00,2025-11-24
322,rambut,0.69,2025-11-24T18:45:00,2025-11-24
323,hijab,0.89,2025-11-24T21:55:00,2025-11-24
324,rambut,0.94,2025-11-24T07:32:00,2025-11-24
325,rambut,0.68,2025-11-24T14:10:00,2025-11-24
326,rambut,0.77,2025-11-24T06:40:00,2025-11-24
327,topi,0.51,2025-11-24T17:46:00,2025-11-24
328,rambut,0.71,2025-11-24T12:08:00,2025-11-24
329,rambut,0.77,2025-11-24T18:40:00,2025-11-24
330,topi,1.0,2025-11-24T20:38:00,2025-11-24
331,hijab,0.62,2025-11-24T14:55:00,2025-11-24
332,rambut,0.89,2025-11-24T07:54:00,2025-11-24
333,rambut,0.82,2025-11-24T07:54:00,2025-11-24
334,hijab,0.71,2025-11-24T15:33:00,2025-11-24
335,topi,0.93,2025-11-24T10:27:00,2025-11-24
336,rambut,0.7,2025-11-24T20:07:00,2025-11-24
337,hijab,0.84,2025-11-24T15:08:00,2025-11-24
338,hijab,0.57,2025-11-24T10:07:00,2025-11-24
339,topi,1.0,2025-11-24T16:20:00,2025-11-24
340,rambut,0.73,2025-11-24T21:20:00,2025-11-24
341,rambut,0.85,2025-11-24T21:54:00,2025-11-24
342,rambut,0.79,2025-11-24T08:58:00,2025-11-24
343,rambut,0.61,2025-11-24T07:37:00,2025-11-24
344,hijab,0.99,2025-11-24T18:43:00,2025-11-24
345,rambut,0.73,2025-11-24T21:41:00,2025-11-24
346,rambut,0.66,2025-11-24T07:12:00,2025-11-24
347,topi,0.99,2025-11-24T11:31:00,2025-11-24
348,topi,0.88,2025-11-24T10:38:00,2025-11-24
349,rambut,0.6,2025-11-24T06:15:00,2025-11-24
350,rambut,0.62,2025-11-24T09:00:00,2025-11-24
351,rambut,0.75,2025-11-24T17:46:00,2025-11-24
352,rambut,0.91,2025-11-24T17:58:00,2025-11-24
353,rambut,0.65,2025-11-24T16:36:00,2025-11-24
354,topi,0.66,2025-11-24T16:02:00,2025-11-24
355,hijab,0.69,2025-11-24T20:21:00,2025-11-24
356,topi,0.53,2025-11-24T16:37:00,2025-11-24
357,hijab,0.78,2025-11-24T16:52:00,2025-11-24
358,topi,0.63,2025-11-24T13:01:00,2025-11-24
359,topi,0.67,2025-11-24T14:11:00,2025-11-24
360,rambut,0.56,2025-11-24T14:09:00,2025-11-24
361,hijab,0.78,2025-11-24T18:32:00,2025-11-24
362,topi,0.74,2025-11-24T13:37:00,2025-11-24
363,hijab,0.92,2025-11-24T21:38:00,2025-11-24
364,topi,0.78,2025-11-24T07:27:00,2025-11-24
365,topi,0.58,2025-11-24T11:31:00,2025-11-24
366,rambut,0.57,2025-11-24T19:36:00,2025-11-24
367,rambut,0.59,2025-11-24T21:03:00,2025-11-24
368,rambut,0.95,2025-11-24T09:22:00,2025-11-24
369,rambut,0.8,2025-11-24T09:13:00,2025-11-24
370,hijab,0.77,2025-11-24T20:59:00,2025-11-24
371,topi,0.7,2025-11-24T19:38:00,2025-11-24
372,topi,0.61,2025-11-24T10:15:00,2025-11-24
373,rambut,0.84,2025-11-24T06:32:00,2025-11-24
374,rambut,0.83,2025-11-24T11:02:00,2025-11-24
375,topi,0.85,2025-11-24T15:47:00,2025-11-24
376,rambut,0.73,2025-11-24T16:58:00,2025-11-24
377,hijab,0.94,2025-11-24T09:14:00,2025-11-24
378,rambut,0.8,2025-11-24T20:52:00,2025-11-24
379,topi,0.88,2025-11-24T10:26:00,2025-11-24
380,rambut,0.81,2025-11-24T18:01:00,2025-11-24
381,topi,0.74,2025-11-24T10:56:00,2025-11-24
382,hijab,0.65,2025-11-24T11:47:00,2025-11-24
383,hijab,0.88,2025-11-24T11:31:00,2025-11-24
384,hijab,0.7,2025-11-24T07:24:00,2025-11-24
385,rambut,0.97,2025-11-24T16:17:00,2025-11-24
386,topi,0.71,2025-11-24T16:10:00,2025-11-24
387,rambut,0.55,2025-11-24T19:19:00,2025-11-24
388,topi,0.57,2025-11-24T20:27:00,2025-11-24
389,rambut,0.91,2025-11-24T10:21:00,2025-11-24
390,rambut,1.0,2025-11-24T18:56:00,2025-11-24
391,rambut,0.97,2025-11-24T06:15:00,2025-11-24
392,rambut,0.66,2025-11-24T06:47:00,2025-11-24
393,rambut,0.7,2025-11-24T14:26:00,2025-11-24
394,rambut,0.66,2025-11-24T21:15:00,2025-11-24
395,topi,0.86,2025-11-24T10:35:00,2025-11-24
396,rambut,0.72,2025-11-24T08:02:00,2025-11-24
397,hijab,0.67,2025-11-24T07:50:00,2025-11-24
398,topi,0.75,2025-11-24T12:36:00,2025-11-24
399,rambut,0.52,2025-11-24T20:55:00,2025-11-24
400,rambut,0.67,2025-11-24T19:41:00,2025-11-24
401,rambut,0.95,2025-11-24T17:50:00,2025-11-24
402,rambut,0.77,2025-11-24T16:56:00,2025-11-24
403,rambut,0.59,2025-11-24T16:15:00,2025-11-24
404,hijab,0.68,2025-11-24T14:36:00,2025-11-24
405,rambut,0.93,2025-11-24T16:12:00,2025-11-24
406,rambut,0.81,2025-11-24T06:41:00,2025-11-24
407,hijab,0.82,2025-11-24T09:40:00,2025-11-24
408,rambut,0.75,2025-11-24T21:25:00,2025-11-24
409,topi,0.73,2025-11-24T17:57:00,2025-11-24
410,topi,0.62,2025-11-24T11:25:00,2025-11-24
411,hijab,0.67,2025-11-24T09:04:00,2025-11-24
412,topi,0.94,2025-11-24T11:03:00,2025-11-24
413,rambut,0.6,2025-11-24T17:01:00,2025-11-24
414,topi,0.78,2025-11-24T20:58:00,2025-11-24
415,topi,0.59,2025-11-24T10:06:00,2025-11-24
416,rambut,0.56,2025-11-24T16:24:00,2025-11-24
417,hijab,0.72,2025-11-24T16:13:00,2025-11-24
418,hijab,0.93,2025-11-24T21:14:00,2025-11-24
419,topi,0.88,2025-11-24T10:38:00,2025-11-24
420,rambut,0.67,2025-11-24T16:34:00,2025-11-24
421,rambut,0.81,2025-11-24T09:29:00,2025-11-24
422,rambut,0.87,2025-11-24T20:21:00,2025-11-24
423,rambut,0.88,2025-11-24T12:08:00,2025-11-24
424,topi,0.77,2025-11-24T19:01:00,2025-11-24
425,hijab,0.95,2025-11-24T16:55:00,2025-11-24
426,topi,0.63,2025-11-24T07:52:00,2025-11-24
427,rambut,0.5,2025-11-24T17:20:00,2025-11-24
428,hijab,0.88,2025-11-24T18:40:00,2025-11-24
429,topi,0.65,2025-11-24T06:56:00,2025-11-24
430,rambut,0.87,2025-11-24T08:16:00,2025-11-24
431,topi,0.81,2025-11-24T07:35:00,2025-11-24
432,rambut,0.61,2025-11-24T12:22:00,2025-11-24
433,rambut,0.51,2025-11-24T11:22:00,2025-11-24
434,topi,0.98,2025-11-24T21:49:00,2025-11-24
435,rambut,0.53,2025-11-24T14:20:00,2025-11-24
436,rambut,0.71,2025-11-24T16:33:00,2025-11-24
437,hijab,0.8,2025-11-24T15:53:00,2025-11-24
438,rambut,0.92,2025-11-24T18:36:00,2025-11-24
439,topi,0.55,2025-11-24T14:59:00,2025-11-24
440,topi,0.79,2025-11-24T16:46:00,2025-11-24
441,rambut,0.65,2025-11-24T21:13:00,2025-11-24
442,topi,0.66,2025-11-24T07:28:00,2025-11-24
443,rambut,0.52,2025-11-24T10:45:00,2025-11-24
444,hijab,0.59,2025-11-24T09:28:00,2025-11-24
445,rambut,0.56,2025-11-24T07:21:00,2025-11-24
446,topi,0.74,2025-11-24T10:11:00,2025-11-24
447,rambut,0.64,2025-11-24T06:24:00,2025-11-24
448,rambut,0.99,2025-11-24T08:12:00,2025-11-24
449,rambut,0.71,2025-11-24T06:29:00,2025-11-24
450,hijab,0.73,2025-11-24T09:02:00,2025-11-24
451,topi,0.92,2025-11-24T13:48:00,2025-11-24
452,rambut,0.55,2025-11-24T18:15:00,2025-11-24
453,rambut,0.64,2025-11-24T12:17:00,2025-11-24
454,hijab,0.84,2025-11-24T12:37:00,2025-11-24
455,rambut,0.55,2025-11-24T15:43:00,2025-11-24
456,rambut,0.56,2025-11-24T06:12:00,2025-11-24
457,rambut,0.69,2025-11-24T21:59:00,2025-11-24
458,rambut,0.64,2025-11-24T12:15:00,2025-11-24
459,topi,0.76,2025-11-24T17:00:00,2025-11-24
460,rambut,0.77,2025-11-24T08:37:00,2025-11-24
461,rambut,0.65,2025-11-24T11:21:00,2025-11-24
462,rambut,0.75,2025-11-24T19:47:00,2025-11-24
463,rambut,0.76,2025-11-24T06:41:00,2025-11-24
464,rambut,0.9,2025-11-24T14:47:00,2025-11-24
465,topi,0.62,2025-11-24T10:32:00,2025-11-24
466,rambut,0.61,2025-11-24T15:47:00,2025-11-24
467,topi,0.84,2025-11-24T12:59:00,2025-11-24
468,hijab,0.77,2025-11-24T08:35:00,2025-11-24
