id,emotion,confidence,timestamp
156,shorts,0.93,2025-11-05 08:35:54
157,shirt,0.92,2025-11-24 14:37:04
158,long_pants,0.96,2025-11-24 14:37:04
159,outer,0.85,2025-11-22 07:23:26
160,shorts,0.98,2025-11-22 07:23:26
161,t-shirt,0.93,2025-11-23 21:03:09
162,long_pants,0.71,2025-11-23 21:03:09
163,blouse,0.81,2025-11-17 17:51:45
164,shorts,0.91,2025-11-17 17:51:45
165,outer,0.71,2025-11-19 23:54:13
166,skirt,0.96,2025-11-19 23:54:13
167,shirt,0.72,2025-10-30 11:38:15
168,long_pants,0.79,2025-10-30 11:38:15
169,sweater,0.83,2025-11-10 11:20:01
170,skirt,0.75,2025-11-10 11:20:01
171,t-shirt,0.8,2025-10-25 12:56:12
172,skirt,0.94,2025-10-25 12:56:12
173,t-shirt,0.92,2025-11-20 15:38:07
174,skirt,0.81,2025-11-20 15:38:07
175,sweater,0.88,2025-11-15 18:41:25
176,shorts,0.79,2025-11-15 18:41:25
177,t-shirt,0.88,2025-11-13 16:24:45
178,long_pants,0.93,2025-11-13 16:24:45
179,t-shirt,0.77,2025-10-26 20:24:52
180,long_pants,0.74,2025-10-26 20:24:52
181,t-shirt,0.9,2025-11-08 11:36:19
182,shorts,0.85,2025-11-08 11:36:19
183,blouse,0.92,2025-11-01 16:27:45
184,shorts,0.88,2025-11-01 16:27:45
185,sweater,0.73,2025-11-21 09:44:20
186,long_pants,0.83,2025-11-21 09:44:20
187,t-shirt,0.97,2025-11-24 15:42:43
188,shorts,0.94,2025-11-24 15:42:43
189,t-shirt,0.81,2025-10-29 16:05:15
190,long_pants,0.74,2025-10-29 16:05:15
191,outer,0.97,2025-11-21 08:00:27
192,long_pants,0.74,2025-11-21 08:00:27
193,t-shirt,0.79,2025-11-03 14:59:15
194,long_pants,0.91,2025-11-03 14:59:15
195,sweater,0.73,2025-11-15 11:32:54
196,long_pants,0.86,2025-11-15 11:32:54
197,t-shirt,0.88,2025-10-28 08:03:00
198,long_pants,0.98,2025-10-28 08:03:00
199,blouse,0.75,2025-10-31 14:47:22
200,skirt,0.73,2025-10-31 14:47:22
201,t-shirt,0.72,2025-11-17 11:44:19
202,skirt,0.78,2025-11-17 11:44:19
203,outer,0.73,2025-11-04 21:36:25
204,long_pants,0.91,2025-11-04 21:36:25
205,blouse,0.79,2025-10-31 07:24:16
206,long_pants,0.98,2025-10-31 07:24:16
207,t-shirt,0.86,2025-11-07 17:55:42
208,long_pants,0.86,2025-11-07 17:55:42
209,sweater,0.96,2025-10-31 23:31:11
210,shorts,0.83,2025-10-31 23:31:11
211,t-shirt,0.95,2025-10-27 23:22:23
212,long_pants,0.95,2025-10-27 23:22:23
213,outer,0.82,2025-11-15 22:39:23
214,long_pants,0.95,2025-11-15 22:39:23
215,t-shirt,0.71,2025-11-02 19:18:21
216,long_pants,0.78,2025-11-02 19:18:21
217,shirt,0.81,2025-10-24 17:12:13
218,long_pants,0.73,2025-10-24 17:12:13
219,shirt,0.83,2025-11-10 15:59:02
220,skirt,0.81,2025-11-10 15:59:02
221,t-shirt,0.71,2025-11-03 20:01:28
222,long_pants,0.85,2025-11-03 20:01:28
223,t-shirt,0.87,2025-10-29 14:24:24
224,shorts,0.81,2025-10-29 14:24:24
225,sweater,0.8,2025-11-09 22:14:55
226,long_pants,0.91,2025-11-09 22:14:55
227,t-shirt,0.72,2025-10-27 23:38:57
228,skirt,0.8,2025-10-27 23:38:57
229,outer,0.92,2025-11-20 07:13:07
230,long_pants,0.87,2025-11-20 07:13:07
231,t-shirt,0.82,2025-11-15 15:02:37
232,long_pants,0.87,2025-11-15 15:02:37
233,shirt,0.78,2025-10-30 20:40:29
234,long_pants,0.77,2025-10-30 20:40:29
235,sweater,0.98,2025-11-17 10:50:31
236,shorts,0.79,2025-11-17 10:50:31
237,t-shirt,0.81,2025-11-02 21:08:24
238,long_pants,0.82,2025-11-02 21:08:24
239,shirt,0.91,2025-11-16 15:31:28
240,shorts,0.94,2025-11-16 15:31:28
241,shirt,0.82,2025-11-20 07:05:35
242,long_pants,0.95,2025-11-20 07:05:35
243,outer,0.8,2025-11-19 22:57:31
244,long_pants,0.8,2025-11-19 22:57:31
245,sweater,0.88,2025-10-31 18:03:31
246,long_pants,0.97,2025-10-31 18:03:31
247,sweater,0.84,2025-10-25 12:54:33
248,skirt,0.74,2025-10-25 12:54:33
249,t-shirt,0.84,2025-11-16 10:32:02
250,skirt,0.96,2025-11-16 10:32:02
251,outer,0.72,2025-11-13 06:39:42
252,long_pants,0.92,2025-11-13 06:39:42
253,t-shirt,0.92,2025-11-11 18:55:38
254,shorts,0.85,2025-11-11 18:55:38
255,t-shirt,0.78,2025-11-10 11:53:08
256,skirt,0.9,2025-11-10 11:53:08
257,t-shirt,0.97,2025-11-21 11:54:43
258,long_pants,0.88,2025-11-21 11:54:43
259,sweater,0.83,2025-10-27 19:07:57
260,long_pants,0.72,2025-10-27 19:07:57
261,shirt,0.71,2025-11-06 14:48:46
262,skirt,0.98,2025-11-06 14:48:46
263,sweater,0.83,2025-10-25 13:58:50
264,shorts,0.77,2025-10-25 13:58:50
265,shirt,0.89,2025-10-28 15:12:18
266,shorts,0.94,2025-10-28 15:12:18
267,sweater,0.71,2025-10-30 11:10:41
268,shorts,0.83,2025-10-30 11:10:41
269,t-shirt,0.85,2025-11-21 23:46:20
270,skirt,0.81,2025-11-21 23:46:20
271,t-shirt,0.91,2025-10-26 13:31:36
272,shorts,0.73,2025-10-26 13:31:36
273,outer,0.85,2025-11-11 21:42:01
274,long_pants,0.8,2025-11-11 21:42:01
275,sweater,0.94,2025-10-31 17:05:53
276,long_pants,0.81,2025-10-31 17:05:53
277,t-shirt,0.73,2025-10-25 23:26:28
278,shorts,0.76,2025-10-25 23:26:28
279,t-shirt,0.82,2025-11-01 22:20:23
280,shorts,0.75,2025-11-01 22:20:23
281,t-shirt,0.89,2025-11-10 10:07:25
282,long_pants,0.8,2025-11-10 10:07:25
283,sweater,0.92,2025-11-07 09:36:55
284,long_pants,0.82,2025-11-07 09:36:55
285,t-shirt,0.88,2025-10-26 11:32:52
286,shorts,0.98,2025-10-26 11:32:52
287,t-shirt,0.81,2025-11-21 16:21:11
288,long_pants,0.87,2025-11-21 16:21:11
289,t-shirt,0.91,2025-10-27 12:31:55
290,shorts,0.97,2025-10-27 12:31:55
291,t-shirt,0.77,2025-11-21 22:29:11
292,long_pants,0.96,2025-11-21 22:29:11
293,outer,0.74,2025-10-28 19:14:19
294,skirt,0.76,2025-10-28 19:14:19
295,t-shirt,0.84,2025-10-24 18:47:50
296,long_pants,0.7,2025-10-24 18:47:50
297,blouse,0.78,2025-10-31 22:31:41
298,skirt,0.7,2025-10-31 22:31:41
299,sweater,0.94,2025-10-30 18:21:17
300,long_pants,0.88,2025-10-30 18:21:17
301,outer,0.99,2025-10-26 16:52:49
302,shorts,0.82,2025-10-26 16:52:49
303,t-shirt,0.88,2025-11-18 08:47:18
304,long_pants,0.94,2025-11-18 08:47:18
305,sweater,0.74,2025-11-19 07:07:50
306,long_pants,0.98,2025-11-19 07:07:50
307,outer,0.9,2025-10-30 09:19:36
308,shorts,0.9,2025-10-30 09:19:36
309,outer,0.88,2025-11-20 23:31:18
310,long_pants,0.92,2025-11-20 23:31:18
311,sweater,0.88,2025-11-03 12:55:09
312,long_pants,0.76,2025-11-03 12:55:09
313,shirt,0.91,2025-11-24 17:52:14
314,shorts,0.9,2025-11-24 17:52:14
315,blouse,0.82,2025-11-17 18:32:42
316,long_pants,0.94,2025-11-17 18:32:42
317,shirt,0.87,2025-11-22 23:00:46
318,shorts,0.93,2025-11-22 23:00:46
319,shirt,0.75,2025-11-01 20:24:07
320,skirt,0.87,2025-11-01 20:24:07
321,t-shirt,0.94,2025-11-08 12:36:09
322,shorts,0.8,2025-11-08 12:36:09
323,t-shirt,0.74,2025-11-12 13:00:37
324,shorts,0.96,2025-11-12 13:00:37
325,outer,0.9,2025-10-24 22:10:13
326,long_pants,0.79,2025-10-24 22:10:13
327,t-shirt,0.72,2025-11-17 18:49:32
328,skirt,0.93,2025-11-17 18:49:32
329,blouse,0.76,2025-11-11 06:01:26
330,long_pants,0.95,2025-11-11 06:01:26
331,t-shirt,0.84,2025-11-04 17:27:17
332,shorts,0.98,2025-11-04 17:27:17
333,t-shirt,0.74,2025-11-02 16:02:31
334,skirt,0.94,2025-11-02 16:02:31
335,outer,0.85,2025-11-23 13:16:50
336,shorts,0.78,2025-11-23 13:16:50
337,shirt,0.74,2025-10-24 19:58:59
338,skirt,0.72,2025-10-24 19:58:59
339,outer,0.96,2025-11-17 23:35:43
340,long_pants,0.83,2025-11-17 23:35:43
341,outer,0.83,2025-10-29 18:09:31
342,long_pants,0.83,2025-10-29 18:09:31
343,outer,0.9,2025-11-17 23:01:17
344,skirt,0.87,2025-11-17 23:01:17
345,t-shirt,0.83,2025-10-29 23:20:28
346,skirt,0.73,2025-10-29 23:20:28
347,t-shirt,0.8,2025-11-19 19:24:30
348,long_pants,0.8,2025-11-19 19:24:30
349,sweater,0.75,2025-10-29 17:04:06
350,shorts,0.82,2025-10-29 17:04:06
351,outer,0.83,2025-11-05 21:42:48
352,long_pants,0.7,2025-11-05 21:42:48
353,outer,0.91,2025-11-20 08:55:28
354,long_pants,0.76,2025-11-20 08:55:28
355,sweater,0.98,2025-11-23 22:39:04
356,long_pants,0.73,2025-11-23 22:39:04
357,t-shirt,0.81,2025-10-30 09:00:03
358,skirt,0.83,2025-10-30 09:00:03
359,t-shirt,0.96,2025-10-28 12:27:23
360,long_pants,0.92,2025-10-28 12:27:23
361,sweater,0.93,2025-11-19 21:18:44
362,skirt,0.84,2025-11-19 21:18:44
363,shirt,0.7,2025-11-15 22:58:23
364,skirt,0.9,2025-11-15 22:58:23
365,shirt,0.84,2025-11-17 15:40:26
366,long_pants,0.88,2025-11-17 15:40:26
367,outer,0.9,2025-11-22 12:04:26
368,long_pants,0.87,2025-11-22 12:04:26
369,shirt,0.86,2025-10-24 06:04:31
370,shorts,0.84,2025-10-24 06:04:31
371,blouse,0.76,2025-11-01 19:56:43
372,skirt,0.78,2025-11-01 19:56:43
373,t-shirt,0.87,2025-11-16 19:27:43
374,skirt,0.71,2025-11-16 19:27:43
375,outer,0.78,2025-10-29 14:45:27
376,long_pants,0.98,2025-10-29 14:45:27
377,shirt,0.94,2025-11-02 13:31:05
378,skirt,0.96,2025-11-02 13:31:05
379,sweater,0.91,2025-11-10 08:28:20
380,long_pants,0.96,2025-11-10 08:28:20
381,t-shirt,0.86,2025-11-21 20:14:37
382,skirt,0.72,2025-11-21 20:14:37
383,sweater,0.98,2025-10-31 06:31:09
384,long_pants,0.94,2025-10-31 06:31:09
385,sweater,0.73,2025-11-23 09:00:17
386,long_pants,0.73,2025-11-23 09:00:17
387,sweater,0.72,2025-11-23 18:36:32
388,long_pants,0.99,2025-11-23 18:36:32
389,outer,0.94,2025-11-10 08:50:40
390,long_pants,0.93,2025-11-10 08:50:40
391,shirt,0.81,2025-11-24 20:41:13
392,skirt,0.8,2025-11-24 20:41:13
393,outer,0.85,2025-11-08 22:29:05
394,long_pants,0.93,2025-11-08 22:29:05
395,sweater,0.95,2025-11-02 11:42:57
396,shorts,0.8,2025-11-02 11:42:57
397,t-shirt,0.78,2025-11-17 20:48:04
398,long_pants,0.71,2025-11-17 20:48:04
399,outer,0.83,2025-10-31 22:58:40
400,shorts,0.71,2025-10-31 22:58:40
401,outer,0.96,2025-11-05 06:10:48
402,long_pants,0.9,2025-11-05 06:10:48
403,blouse,0.8,2025-11-14 11:16:26
404,shorts,0.74,2025-11-14 11:16:26
405,blouse,0.92,2025-11-20 09:56:23
406,long_pants,0.93,2025-11-20 09:56:23
407,outer,0.71,2025-11-17 15:41:52
408,shorts,0.95,2025-11-17 15:41:52
409,sweater,0.78,2025-11-14 12:22:47
410,long_pants,0.93,2025-11-14 12:22:47
411,outer,0.87,2025-11-09 21:56:20
412,skirt,0.97,2025-11-09 21:56:20
413,sweater,0.74,2025-10-27 17:04:15
414,long_pants,0.94,2025-10-27 17:04:15
415,t-shirt,0.84,2025-11-08 19:06:37
416,shorts,0.78,2025-11-08 19:06:37
417,blouse,0.96,2025-11-16 22:10:15
418,long_pants,0.71,2025-11-16 22:10:15
419,outer,0.73,2025-10-25 23:46:10
420,long_pants,0.88,2025-10-25 23:46:10
421,outer,0.71,2025-11-13 08:56:18
422,long_pants,0.86,2025-11-13 08:56:18
423,t-shirt,0.77,2025-11-22 07:38:24
424,long_pants,0.91,2025-11-22 07:38:24
425,shirt,0.75,2025-11-09 12:06:57
426,shorts,0.73,2025-11-09 12:06:57
427,shirt,0.78,2025-11-16 12:20:29
428,long_pants,0.98,2025-11-16 12:20:29
429,outer,0.95,2025-11-07 09:47:00
430,shorts,0.8,2025-11-07 09:47:00
431,outer,0.95,2025-11-24 14:43:52
432,shorts,0.86,2025-11-24 14:43:52
433,t-shirt,0.76,2025-11-24 18:11:41
434,long_pants,0.95,2025-11-24 18:11:41
435,sweater,0.77,2025-10-26 15:30:41
436,long_pants,0.8,2025-10-26 15:30:41
437,outer,0.91,2025-10-26 16:39:02
438,long_pants,0.77,2025-10-26 16:39:02
439,t-shirt,0.73,2025-10-25 10:07:12
440,shorts,0.79,2025-10-25 10:07:12
441,t-shirt,0.98,2025-10-24 08:10:48
442,long_pants,0.93,2025-10-24 08:10:48
443,outer,0.85,2025-11-14 16:21:06
444,shorts,0.84,2025-11-14 16:21:06
445,sweater,0.9,2025-10-26 22:32:37
446,skirt,0.84,2025-10-26 22:32:37
447,outer,0.83,2025-10-28 09:07:25
448,long_pants,0.93,2025-10-28 09:07:25
449,t-shirt,0.84,2025-11-03 14:59:56
450,skirt,0.98,2025-11-03 14:59:56
451,shirt,0.85,2025-11-07 15:15:12
452,shorts,0.74,2025-11-07 15:15:12
453,sweater,0.8,2025-11-24 06:26:27
454,long_pants,0.96,2025-11-24 06:26:27
455,t-shirt,0.97,2025-11-02 14:52:21
456,skirt,0.84,2025-11-02 14:52:21
457,outer,0.78,2025-11-01 23:19:24
458,long_pants,0.93,2025-11-01 23:19:24
459,outer,0.86,2025-11-13 08:10:22
460,long_pants,0.85,2025-11-13 08:10:22
461,t-shirt,0.85,2025-11-21 17:34:20
462,long_pants,0.81,2025-11-21 17:34:20
463,t-shirt,0.72,2025-11-05 21:59:59
464,skirt,0.86,2025-11-05 21:59:59
465,sweater,0.8,2025-11-24 13:20:25
466,skirt,0.83,2025-11-24 13:20:25
467,sweater,0.96,2025-11-20 17:27:42
468,long_pants,0.71,2025-11-20 17:27:42
469,outer,0.9,2025-11-10 09:06:05
470,long_pants,0.77,2025-11-10 09:06:05
471,outer,0.92,2025-11-22 09:28:30
472,long_pants,0.96,2025-11-22 09:28:30
473,t-shirt,0.9,2025-11-19 18:56:23
474,shorts,0.94,2025-11-19 18:56:23
475,blouse,0.71,2025-11-01 13:26:14
476,shorts,0.96,2025-11-01 13:26:14
477,outer,0.94,2025-11-12 15:09:29
478,long_pants,0.91,2025-11-12 15:09:29
479,outer,0.71,2025-11-01 12:05:46
480,shorts,0.86,2025-11-01 12:05:46
481,outer,0.86,2025-11-17 18:18:10
482,shorts,0.9,2025-11-17 18:18:10
483,t-shirt,0.89,2025-10-24 08:09:37
484,shorts,0.75,2025-10-24 08:09:37
485,t-shirt,0.9,2025-11-14 17:13:16
486,long_pants,0.97,2025-11-14 17:13:16
487,outer,0.96,2025-11-07 11:24:03
488,skirt,0.82,2025-11-07 11:24:03
489,t-shirt,0.85,2025-11-22 16:57:06
490,long_pants,0.93,2025-11-22 16:57:06
491,t-shirt,0.78,2025-11-10 18:27:11
492,long_pants,0.99,2025-11-10 18:27:11
493,t-shirt,0.77,2025-11-23 11:57:06
494,long_pants,0.92,2025-11-23 11:57:06
495,t-shirt,0.85,2025-11-05 09:26:31
496,long_pants,0.81,2025-11-05 09:26:31
497,outer,0.81,2025-11-04 08:11:47
498,long_pants,0.95,2025-11-04 08:11:47
499,sweater,0.76,2025-11-23 20:29:44
500,long_pants,0.91,2025-11-23 20:29:44
501,outer,0.91,2025-11-21 15:37:08
502,long_pants,0.9,2025-11-21 15:37:08
503,t-shirt,0.73,2025-10-31 13:39:40
504,long_pants,0.8,2025-10-31 13:39:40
505,sweater,0.8,2025-11-13 19:56:47
506,long_pants,0.83,2025-11-13 19:56:47
507,t-shirt,0.75,2025-11-11 21:30:08
508,long_pants,0.72,2025-11-11 21:30:08
509,shirt,0.86,2025-11-01 18:39:10
510,long_pants,0.93,2025-11-01 18:39:10
511,outer,0.81,2025-11-13 07:05:19
512,shorts,0.91,2025-11-13 07:05:19
513,outer,0.93,2025-10-30 07:30:51
514,long_pants,0.81,2025-10-30 07:30:51
515,outer,0.75,2025-10-31 19:18:46
516,long_pants,0.72,2025-10-31 19:18:46
517,outer,0.78,2025-11-22 15:09:42
518,shorts,0.77,2025-11-22 15:09:42
519,t-shirt,0.73,2025-11-08 14:14:29
520,long_pants,0.87,2025-11-08 14:14:29
521,sweater,0.77,2025-11-14 22:18:50
522,long_pants,0.95,2025-11-14 22:18:50
523,t-shirt,0.73,2025-11-24 18:06:16
524,skirt,0.76,2025-11-24 18:06:16
525,sweater,0.82,2025-11-06 11:49:38
526,shorts,0.82,2025-11-06 11:49:38
527,t-shirt,0.92,2025-10-29 16:02:32
528,skirt,0.93,2025-10-29 16:02:32
529,t-shirt,0.8,2025-11-13 22:21:05
530,long_pants,0.97,2025-11-13 22:21:05
531,outer,0.86,2025-11-04 21:32:06
532,shorts,0.92,2025-11-04 21:32:06
533,t-shirt,0.84,2025-10-24 15:28:13
534,shorts,0.92,2025-10-24 15:28:13
535,t-shirt,0.74,2025-11-20 07:47:04
536,shorts,0.92,2025-11-20 07:47:04
537,sweater,0.81,2025-11-18 11:42:36
538,long_pants,0.8,2025-11-18 11:42:36
539,shirt,0.77,2025-11-11 12:35:06
540,long_pants,0.9,2025-11-11 12:35:06
541,t-shirt,0.91,2025-11-12 10:32:05
542,shorts,0.78,2025-11-12 10:32:05
543,t-shirt,0.89,2025-11-06 14:15:14
544,long_pants,0.93,2025-11-06 14:15:14
545,sweater,0.97,2025-11-02 20:30:51
546,long_pants,0.86,2025-11-02 20:30:51
547,blouse,0.9,2025-11-23 15:39:50
548,long_pants,0.85,2025-11-23 15:39:50
549,t-shirt,0.84,2025-10-26 17:04:11
550,long_pants,0.96,2025-10-26 17:04:11
551,t-shirt,0.71,2025-11-07 15:54:23
552,long_pants,0.75,2025-11-07 15:54:23
553,outer,0.76,2025-10-24 08:45:21
554,long_pants,0.84,2025-10-24 08:45:21
555,outer,0.81,2025-10-26 16:04:10
556,long_pants,0.74,2025-10-26 16:04:10
557,shirt,0.95,2025-11-09 21:47:24
558,skirt,0.94,2025-11-09 21:47:24
559,outer,0.89,2025-11-16 06:42:52
560,shorts,0.7,2025-11-16 06:42:52
561,outer,0.99,2025-11-22 19:20:08
562,long_pants,0.8,2025-11-22 19:20:08
563,shirt,0.85,2025-10-28 10:16:19
564,shorts,0.8,2025-10-28 10:16:19
565,sweater,0.95,2025-11-03 12:28:27
566,skirt,0.9,2025-11-03 12:28:27
567,sweater,0.95,2025-11-09 10:25:43
568,shorts,0.94,2025-11-09 10:25:43
569,sweater,0.78,2025-10-28 14:23:12
570,shorts,0.92,2025-10-28 14:23:12
571,shirt,0.89,2025-10-24 11:44:42
572,shorts,0.9,2025-10-24 11:44:42
573,sweater,0.97,2025-10-31 09:09:35
574,skirt,0.87,2025-10-31 09:09:35
575,outer,0.8,2025-10-24 21:48:24
576,long_pants,0.8,2025-10-24 21:48:24
577,outer,0.89,2025-11-19 06:00:38
578,long_pants,0.75,2025-11-19 06:00:38
579,sweater,0.81,2025-11-22 10:29:55
580,shorts,0.78,2025-11-22 10:29:55
581,sweater,0.84,2025-11-02 18:38:43
582,long_pants,0.75,2025-11-02 18:38:43
583,sweater,0.93,2025-11-16 20:23:14
584,long_pants,0.76,2025-11-16 20:23:14
585,sweater,0.72,2025-10-29 15:43:18
586,long_pants,0.85,2025-10-29 15:43:18
587,shirt,0.98,2025-11-09 18:34:51
588,shorts,0.72,2025-11-09 18:34:51
589,blouse,0.79,2025-11-17 09:42:56
590,long_pants,0.93,2025-11-17 09:42:56
591,t-shirt,0.71,2025-10-24 20:33:27
592,skirt,0.76,2025-10-24 20:33:27
593,t-shirt,0.87,2025-10-31 16:49:04
594,long_pants,0.81,2025-10-31 16:49:04
595,shirt,0.78,2025-11-09 15:50:40
